10,Hrustic,3,1319.24,1986.67,1977.31,1986.67,4,2
11,Ilsanker,3,1582.18,1960.88,1953.33,1948.13,3,1
12,Jakic,3,790.265,2023.43,2036.1,2023.43,9,2
13,Jovic,3,1809.34,2004.47,2004.37,2003.59,2,3
14,Kamada,3,484.134,2058.96,2070.14,2075.51,16,2.75
15,Knauff,3,1973.53,1973.53,1973.53,1973.53,0,0
16,Kostic,3,477.01,1997.79,1984.59,2005.4,16,2.25
17,Lammers,3,1327.8,2004.32,2002.42,1996.91,4,3
18,Lenz,3,1004.04,2069.53,2061.52,2056.23,9,1.66667
19,Lindstroem,3,471.925,2010.51,2019.25,2034.93,14,2.92857
20,N'Dicka,3,351.068,1988.25,2008.16,2013.97,19,1
21,Ramaj,3,2003.97,1801.61,1801.61,1801.61,1,0
22,Rode,3,1054.92,1973.09,1975.26,1973.09,7,2
23,Schubert,3,1991.27,1991.27,1991.27,1991.27,0,0
24,Silva_Melo(Tuta),3,643.408,1990.49,2003.32,2007.06,12,1
25,Sow,3,313.211,1988.67,1984,1988.67,20,2
26,Toure,3,1639.52,2029.04,2038.8,2029.04,2,2
27,Trapp,3,2009.97,319.304,319.304,319.304,20,0
28,Zuber,3,1992.99,1992.99,1992.99,1992.99,0,0
0,Adli,4,1075.45,2021.19,2040.31,2052.56,6,2.83333
1,Alario,4,2004.29,2004.29,2004.29,2004.29,0,0
2,Andrich,4,585.386,2042.86,2053.33,2042.86,14,2
3,Aranguiz,4,790.208,2023.78,2050.15,2023.78,10,2
4,Arias,4,1987.38,1987.38,1987.38,1987.38,0,0
5,Azmoun,4,2030.07,2030.07,2030.07,2030.07,0,0
6,Bailey,4,1836.98,2032.69,2029.44,2023.49,3,3
7,Bakker,4,580.499,2002.88,2007.41,2005.81,12,1
8,Baumgartlinger,4,2023.42,2023.42,2023.42,2023.42,0,0
9,Bellarabi,4,973.63,2016.82,2027.09,2040.01,8,3
10,Demirbay,4,426.895,2029.19,2053.87,2029.19,16,2
11,Diaby,4,356.424,2071.13,2106.15,2156.53,18,2.94445
12,Dragovic,4,1629.92,2012.06,2006.92,2003.19,3,1
13,Fosu-Mensah,4,1988.72,1988.72,1988.72,1988.72,0,0
14,Frimpong,4,385.283,1984.41,1997.97,2000.39,17,1.05882
15,Gray,4,1967.97,1967.97,1967.97,1967.97,0,0
16,Grill,4,1995.11,1789.08,1789.08,1789.08,1,0
17,Hincapie,4,787.04,1997.67,2004.31,2005.06,9,1
18,Hradecky,4,2043.4,326.805,326.805,326.805,20,0
19,Jedvaj,4,2010.48,2010.48,2010.48,2010.48,0,0
20,Kossounou,4,718.332,2004.5,2008.5,2007.33,10,1
21,L.Bender,4,2041.23,2041.23,2041.23,2041.23,0,0
22,Palacios,4,1101.5,2064.01,2082.64,2064.01,8,2
23,Paulinho,4,1187.1,1997.15,2010.38,2029.42,5,3
24,S.Bender,4,2046.22,2046.22,2046.22,2046.22,1,1
25,Schick,4,288.153,2044.92,2078.73,2123.62,21,3
26,Sinkgraven,4,1653.16,2040.83,2036.91,2033.89,4,1.25
27,Tah,4,318.27,2015.28,2018.92,2014.6,20,1
28,Tapsoba,4,1103.42,2032.59,2043.92,2048.54,8,1
29,Weiser,4,1983.15,1983.15,1983.15,1983.15,0,0
30,Wendell,4,1817.06,2013.98,2013.35,2013.98,1,2
31,Wirtz,4,385.115,2029.63,2049.08,2029.54,17,2.11766
0,Akanji,5,443.359,2002.06,2037.19,2052.33,18,1
1,Bellingham,5,327.757,2088.81,2085.7,2077.88,21,2.04762
2,Brandt,5,649.731,2043.69,2053.61,2068.35,11,2.45455
3,Burki,5,2026.64,1649.71,1649.71,1649.71,2,0
4,Can,5,889.32,2029.4,2020.61,2026.87,11,1.72727
5,Dahoud,5,363.758,2080.66,2064.33,2080.66,18,2
6,Delaney,5,2056.44,2056.44,2056.44,2056.44,0,0
7,Guerreiro,5,488.871,2013.23,2037.85,2054.38,17,1.05882
8,Haaland,5,443.841,2084.25,2103.61,2126.68,17,3
9,Hazard,5,1331.89,2017.08,2024.32,2033.45,6,2.83333
10,Hitz,5,2031.56,1674.68,1674.68,1674.68,5,0
11,Hummels,5,488.487,2060.38,2066.75,2065.02,16,1
12,Kobel,5,2010.59,352.022,352.022,352.022,19,0
13,Malen,5,579.666,2012.58,2022.69,2032.37,12,3
14,Meunier,5,481.995,1988.46,2010.33,2025.65,14,1.07143
15,Morey,5,2021.43,2021.43,2021.43,2021.43,0,0
16,Moukoko,5,1795.41,1988.43,1984.75,1978.01,1,3
17,Passlack,5,1627.07,1979.8,1990.11,1995.59,2,1
18,Pisczek,5,1659.18,2020.59,2028.61,2032.34,5,1
19,Pongracic,5,1469.08,1993.54,1999.46,2001.93,4,1
20,Reus,5,292.785,2058.29,2068.08,2113.67,22,2.68182
21,Reyna,5,1255.43,2084.61,2073.82,2097.78,8,2.5
22,Schmelzer,5,1991.33,1991.33,1991.33,1991.33,0,0
23,Schulz,5,1072.75,1973.94,1985.52,1990.31,6,1
24,Witsel,5,723.302,2003.36,2038.22,2035.86,10,1.6
25,Wolf,5,1343.23,2020.04,2007.68,2010.26,6,2.16667
26,Zagadou,5,1308.71,1993.88,1990.82,1987.53,4,1
0,Awoniyi,6,529.068,2017.96,2019.45,2014.19,13,3
1,Baumgartl,6,522.75,2012.85,2012.49,2007.58,13,1
2,Becker,6,987.442,2032.39,2014.85,2021,7,2.28571
3,Behrens,6,1727.96,1919.35,1922.06,1926.01,1,3
4,Bulter,6,2020.07,2020.07,2020.07,2020.07,0,0
5,Dajaku,6,2006.01,2006.01,2006.01,2006.01,0,0
6,Endo,6,2013.21,2013.21,2013.21,2013.21,1,3
7,Gentner,6,1640.1,2008.29,2002.06,2008.29,3,2
8,Giesselmann,6,472.987,2012.71,2016.59,2009.11,14,1.85714
9,Gogia,6,2006.01,2006.01,2006.01,2006.01,0,0
10,Haraguchi,6,566.797,1957.88,1971.99,1975.64,16,2.4375
11,Heintz,6,1448.82,1969.13,1976.19,1979.35,4,1
12,Jaeckel,6,556.713,1950.14,1936.78,1924.64,16,1
13,Jensen,6,2006.01,2006.01,2006.01,2006.01,0,0
14,Khedira,6,309.883,2003.5,2037.54,2003.5,18,2
15,Knoche,6,263.045,2068.33,2063.5,2053.24,22,1
16,Luthe,6,2047.35,290.2,290.2,290.2,21,0
17,Michel,6,1417.45,1936.06,1941.92,1949.99,6,3
18,Mohwald,6,1784.88,1970.01,1960.49,1970.01,3,2
19,Musa,6,1644.83,2020.04,2016.49,2009.38,3,3
20,Oczipka,6,1057.22,1980.75,2003.37,1987.94,6,1.66667
21,Oeztunali,6,1062.76,1977.07,1970.9,1977.07,6,2
22,Pohjanpalo,6,1838.93,2034.9,2031.63,2025.58,2,3
23,Promel,6,526.261,2044.5,2061.13,2044.5,14,2
24,Ronnow,6,2008.27,1801.52,1801.52,1801.52,1,0
25,Ryerson,6,970.064,2009.74,2016.42,2009.06,8,1.875
26,Schaefer,6,2032.02,2032.02,2032.02,2032.02,0,0
27,Trimmel,6,533.104,2041.13,2043.5,2045.63,14,1.78571
28,Ujah,6,2006.01,2006.01,2006.01,2006.01,0,0
29,Voglsammer,6,946.216,1959,1967.23,1976.87,8,3
0,Chang-Hoon,7,1991.66,1991.66,1991.66,1991.66,0,0
1,Demirovic,7,991.082,2049.4,2056.28,2062.92,9,3
2,Flekken,7,2051.25,313.539,313.539,313.539,18,0
3,Grifo,7,290.537,2073.98,2096.17,2068.91,19,2.42104
4,Gulde,7,981.811,2015.32,2017.91,2016.59,8,1
5,Gunter,7,261.12,2031.54,2022.2,2026.7,22,1.36364
6,Haberer,7,1296.22,1961.46,1957.16,1961.46,4,2
7,Hofler,7,322.451,2074.8,2085.18,2074.8,19,2
8,Holer,7,316.357,2018.01,2021.56,2016.07,21,2.95238
9,K.Schlotterbeck,7,1322.04,1995.17,1997.45,1997.41,5,1
10,Keitel,7,1055.62,1971.55,1986.83,1971.55,7,2
11,Kubler,7,312.927,2010.98,2017.27,2004.82,18,1.22223
12,Lienhart,7,263.785,2067.75,2065.36,2056.23,22,1
13,M.Eggestein,7,520.616,1997.42,1997.38,1997.42,16,2
14,N.Schlotterbeck,7,396.826,2078.46,2074.61,2066.04,18,1
15,Petersen,7,1619.89,1994.97,2004.76,2019.92,2,3
16,Sallai,7,707.212,2002.35,2019.5,1990.83,12,2.41667
17,Santamaria,7,1807.49,2003.74,2004.53,2003.74,2,2
18,Schade,7,1074.51,2011.11,2014.8,2008.14,6,2.16667
19,Schmid,7,1647.55,2023.32,2002.88,2012.89,4,1.75
20,Sildillia,7,1807.52,2002.89,2000.67,2002.89,1,2
21,Siquet,7,2036.01,2036.01,2036.01,2036.01,0,0
22,Til,7,1988.53,1988.53,1988.53,1988.53,0,0
23,Uphoff,7,1967.76,1611.41,1611.41,1611.41,2,0
