Hincapie,4,1997.67,2005.06,0,0,0
Hradecky,4,2043.4,326.805,0,0,0
Jedvaj,4,2010.48,2010.48,0,0,0
Kossounou,4,2004.5,2007.33,0,0,0
L.Bender,4,2041.23,2041.23,0,0,0
Palacios,4,2064.01,2064.01,0,0,0
Paulinho,4,1997.15,2029.42,0,0,0
S.Bender,4,2046.22,2046.22,0,0,0
Schick,4,2044.92,2123.62,0,0,0
Sinkgraven,4,2040.83,2033.89,0,0,0
Tah,4,2015.28,2014.6,0,0,0
Tapsoba,4,2032.59,2048.54,0,0,0
Weiser,4,1983.15,1983.15,0,0,0
Wendell,4,2013.98,2013.98,0,0,0
Wirtz,4,2029.63,2029.54,0,0,0
Akanji,5,2002.06,2052.33,0,0,0
Bellingham,5,2088.81,2077.88,0,0,0
Brandt,5,2043.69,2068.35,0,0,0
Burki,5,2026.64,1649.71,0,0,0
Can,5,2029.4,2026.87,0,0,0
Dahoud,5,2080.66,2080.66,0,0,0
Delaney,5,2056.44,2056.44,0,0,0
Guerreiro,5,2013.23,2054.38,0,0,0
Haaland,5,2084.25,2126.68,0,0,0
Hazard,5,2017.08,2033.45,0,0,0
Hitz,5,2031.56,1674.68,0,0,0
Hummels,5,2060.38,2065.02,0,0,0
Kobel,5,2010.59,352.022,0,0,0
Malen,5,2012.58,2032.37,0,0,0
Meunier,5,1988.46,2025.65,0,0,0
Morey,5,2021.43,2021.43,0,0,0
Moukoko,5,1988.43,1978.01,0,0,0
Passlack,5,1979.8,1995.59,0,0,0
Pisczek,5,2020.59,2032.34,0,0,0
Pongracic,5,1993.54,2001.93,0,0,0
Reus,5,2058.29,2113.67,0,0,0
Reyna,5,2084.61,2097.78,0,0,0
Schmelzer,5,1991.33,1991.33,0,0,0
Schulz,5,1973.94,1990.31,0,0,0
Witsel,5,2003.36,2035.86,0,0,0
Wolf,5,2020.04,2010.26,0,0,0
Zagadou,5,1993.88,1987.53,0,0,0
Awoniyi,6,2017.96,2014.19,0,0,0
Baumgartl,6,2012.85,2007.58,0,0,0
Becker,6,2032.39,2021,0,0,0
Behrens,6,1919.35,1926.01,0,0,0
Bulter,6,2020.07,2020.07,0,0,0
Dajaku,6,2006.01,2006.01,0,0,0
Endo,6,2013.21,2013.21,0,0,0
Gentner,6,2008.29,2008.29,0,0,0
Giesselmann,6,2012.71,2009.11,0,0,0
Gogia,6,2006.01,2006.01,0,0,0
Haraguchi,6,1957.88,1975.64,0,0,0
Heintz,6,1969.13,1979.35,0,0,0
Jaeckel,6,1950.14,1924.64,0,0,0
Jensen,6,2006.01,2006.01,0,0,0
Khedira,6,2003.5,2003.5,0,0,0
Knoche,6,2068.33,2053.24,0,0,0
Luthe,6,2047.35,290.2,0,0,0
Michel,6,1936.06,1949.99,0,0,0
Mohwald,6,1970.01,1970.01,0,0,0
Musa,6,2020.04,2009.38,0,0,0
Oczipka,6,1980.75,1987.94,0,0,0
Oeztunali,6,1977.07,1977.07,0,0,0
Pohjanpalo,6,2034.9,2025.58,0,0,0
Promel,6,2044.5,2044.5,0,0,0
Ronnow,6,2008.27,1801.52,0,0,0
Ryerson,6,2009.74,2009.06,0,0,0
Schaefer,6,2032.02,2032.02,0,0,0
Trimmel,6,2041.13,2045.63,0,0,0
Ujah,6,2006.01,2006.01,0,0,0
Voglsammer,6,1959,1976.87,0,0,0
Chang-Hoon,7,1991.66,1991.66,0,0,0
Demirovic,7,2049.4,2062.92,0,0,0
Flekken,7,2051.25,313.539,0,0,0
Grifo,7,2073.98,2068.91,0,0,0
Gulde,7,2015.32,2016.59,0,0,0
Gunter,7,2031.54,2026.7,0,0,0
Haberer,7,1961.46,1961.46,0,0,0
Hofler,7,2074.8,2074.8,0,0,0
Holer,7,2018.01,2016.07,0,0,0
K.Schlotterbeck,7,1995.17,1997.41,0,0,0
Keitel,7,1971.55,1971.55,0,0,0
Kubler,7,2010.98,2004.82,0,0,0
Lienhart,7,2067.75,2056.23,0,0,0
M.Eggestein,7,1997.42,1997.42,0,0,0
N.Schlotterbeck,7,2078.46,2066.04,0,0,0
Petersen,7,1994.97,2019.92,0,0,0
Sallai,7,2002.35,1990.83,0,0,0
Santamaria,7,2003.74,2003.74,0,0,0
Schade,7,2011.11,2008.14,0,0,0
Schmid,7,2023.32,2012.89,0,0,0
Sildillia,7,2002.89,2002.89,0,0,0
Siquet,7,2036.01,2036.01,0,0,0
Til,7,1988.53,1988.53,0,0,0
Uphoff,7,1967.76,1611.41,0,0,0
Woo-Yeong,7,1978.63,1983.55,0,0,0
Ahamada,8,1974.93,1974.93,0,0,0
Aidonis,8,2000.09,2000.09,0,0,0
Anton,8,2012.44,2013.93,0,0,0
Badstuber,8,2000.09,2000.09,0,0,0
Bredlow,8,1996.04,1611.01,0,0,0
Churlinov,8,2000.09,2000.09,0,0,0
Coulibaly,8,1983.52,1968.39,0,0,0
Didavi,8,1987.8,1988.48,0,0,0
Egloff,8,2000.09,2000.09,0,0,0
Endo,8,2011.02,2011.02,0,0,0
Forster,8,2016.45,2023.28,0,0,0
Fuehrich,8,1907.13,1949.11,0,0,0
Gonzalez,8,1981.76,1981.76,0,0,0
Grahl,8,2000.09,2000.09,0,0,0
Ito,8,2010.74,2003.77,0,0,0
Kalajdzic,8,2041.04,2041.39,0,0,0
Kaminski,8,2002.14,2002.14,0,0,0
Karazor,8,2037.66,2029.36,0,0,0
Klimovicz,8,2003.07,2003.94,0,0,0
Mack,8,2000.09,2000.09,0,0,0
Mangala,8,2024,2028.06,0,0,0
Marmoush,8,1943.14,1941.51,0,0,0
Massimo,8,1968.33,1968.33,0,0,0
Mavropanos,8,2036.27,2040.29,0,0,0
Mola,8,2000.09,2000.09,0,0,0
Muller,8,2007.18,393.988,0,0,0
Nartey,8,2011.09,2011.09,0,0,0
Sosa,8,2044.37,2052.68,0,0,0
Stenzel,8,2004.33,2002.19,0,0,0
Thommy,8,2001.16,2009.16,0,0,0
Tibidi,8,1999.81,1995.23,0,0,0
Tomas,8,2011.01,2019.74,0,0,0
Wamangituka,8,2017.38,2026.05,0,0,0
Benes,9,1976.24,1976.24,0,0,0
Bensebaini,9,1996.77,2031.76,0,0,0
Beyer,9,2006.13,2004.23,0,0,0
Doucoure,9,1982.47,1982.47,0,0,0
Elvedi,9,2011.21,2031.35,0,0,0
Embolo,9,2032.64,2038.89,0,0,0
Friedrich,9,2053.62,2049.54,0,0,0
Ginter,9,2024.41,2036.52,0,0,0
Herrmann,9,2007.33,2000.26,0,0,0
Hofman,9,2067.11,2029.89,0,0,0
Jantschke,9,2023.5,1999.19,0,0,0
Kone,9,2006.53,2006.53,0,0,0
Kramer,9,2007.7,2007.7,0,0,0
Kurt,9,1982.47,1982.47,0,0,0
Lainer,9,2029.77,2038.15,0,0,0
Lang,9,1982.47,1982.47,0,0,0
Lazaro,9,2031.22,2031.22,0,0,0
Netz,9,2010.57,1999.92,0,0,0
Neuhaus,9,2075.22,2067.09,0,0,0
Plea,9,2071.14,2047.68,0,0,0
Scally,9,2014.68,2007.4,0,0,0
